key,EN,RU,KZ
MISSIONS,Missions,Миссии,
START_MISSION,Start mission,Начать миссию,
ASSEMBLE,Assemble,Собрать,
LAUNCH,Launch,Запустить,
CONGRATS,Congratulations!,Поздравляем!,
ALTITUDE,Altitude,Высота,
CORRECT,Good job!,Отличная работа!,
WRONG,Try again…,Попытайся еще…,
FINISH,Finish,Закончить,
antenna1,Antenna,Антенна,
antenna2,Lorem ipsum dolor sit amet consectetur. Vel senectus orci tortor nec. ,Lorem ipsum dolor sit amet consectetur. Vel senectus orci tortor nec. ,
antenna3,Magna tempor bibendum et dui. Venenatis egestas sed aliquet nascetur tellus. Sed amet sit nunc amet semper erat magna ultricies.,Magna tempor bibendum et dui. Venenatis egestas sed aliquet nascetur tellus. Sed amet sit nunc amet semper erat magna ultricies.,
frame1,Frame,,
frame2,Lorem ipsum dolor sit amet consectetur. Vel senectus orci tortor nec. ,Lorem ipsum dolor sit amet consectetur. Vel senectus orci tortor nec. ,
frame3,Magna tempor bibendum et dui. Venenatis egestas sed aliquet nascetur tellus. Sed amet sit nunc amet semper erat magna ultricies.,Magna tempor bibendum et dui. Venenatis egestas sed aliquet nascetur tellus. Sed amet sit nunc amet semper erat magna ultricies.,
bat1,Battery,Батарея,
bat2,Lorem ipsum dolor sit amet consectetur. Vel senectus orci tortor nec. ,Lorem ipsum dolor sit amet consectetur. Vel senectus orci tortor nec. ,
bat3,Magna tempor bibendum et dui. Venenatis egestas sed aliquet nascetur tellus. Sed amet sit nunc amet semper erat magna ultricies.,Magna tempor bibendum et dui. Venenatis egestas sed aliquet nascetur tellus. Sed amet sit nunc amet semper erat magna ultricies.,
solar1,Solar panel,,
solar2,Lorem ipsum dolor sit amet consectetur. Vel senectus orci tortor nec. ,Lorem ipsum dolor sit amet consectetur. Vel senectus orci tortor nec. ,
solar3,Magna tempor bibendum et dui. Venenatis egestas sed aliquet nascetur tellus. Sed amet sit nunc amet semper erat magna ultricies.,Magna tempor bibendum et dui. Venenatis egestas sed aliquet nascetur tellus. Sed amet sit nunc amet semper erat magna ultricies.,
control1,Control board,,
control2,Lorem ipsum dolor sit amet consectetur. Vel senectus orci tortor nec. ,Lorem ipsum dolor sit amet consectetur. Vel senectus orci tortor nec. ,
control3,Magna tempor bibendum et dui. Venenatis egestas sed aliquet nascetur tellus. Sed amet sit nunc amet semper erat magna ultricies.,Magna tempor bibendum et dui. Venenatis egestas sed aliquet nascetur tellus. Sed amet sit nunc amet semper erat magna ultricies.,
air1,,,
air2,Lorem ipsum dolor sit amet consectetur. Vel senectus orci tortor nec. ,Lorem ipsum dolor sit amet consectetur. Vel senectus orci tortor nec. ,
air3,Magna tempor bibendum et dui. Venenatis egestas sed aliquet nascetur tellus. Sed amet sit nunc amet semper erat magna ultricies.,Magna tempor bibendum et dui. Venenatis egestas sed aliquet nascetur tellus. Sed amet sit nunc amet semper erat magna ultricies.,
top1,TOP subsystem,Подсистема ТОП,
top2,Lorem ipsum dolor sit amet consectetur. Vel senectus orci tortor nec. ,Lorem ipsum dolor sit amet consectetur. Vel senectus orci tortor nec. ,
top3,Magna tempor bibendum et dui. Venenatis egestas sed aliquet nascetur tellus. Sed amet sit nunc amet semper erat magna ultricies.,Magna tempor bibendum et dui. Venenatis egestas sed aliquet nascetur tellus. Sed amet sit nunc amet semper erat magna ultricies.,
