Temperature;PM2.5;PM10
19.8;11;176.6
19.8;11.4;184
19.8;12.1;196
19.7;12.1;195.2
19.7;11.8;191.4
19.7;12.1;195.3
19.6;12.1;196
19.6;12.6;205.4
19.6;13.4;216.3
19.5;14.2;233.5
19.5;15.8;256.7
19.5;16.4;270.5
19.5;16.9;280.6
19.4;17.5;294.6
19.4;18.2;309.7
19.3;18.3;311.9
19.3;18.2;308.5
19.3;18.3;307.4
19.2;18.4;309.1
19.2;18.4;308.7
19.1;18.3;306.8
19.1;18.3;301.5
19;18;297.4
19;17.5;288.6
18.9;17.1;280.4
18.9;16.8;276.8
18.9;16.4;267.8
18.8;15.9;256.8
18.8;15.6;248.4
18.8;14.8;235.4
18.7;14.3;224.5
18.6;14.2;215.5
18.6;13.4;201.3
18.6;13.3;199.8
18.6;13.5;204
18.5;13;193
18.5;12.5;179.3
18.4;11.8;166.9
18.4;10.9;156
18.4;10;136.3
18.3;8.3;110.5
18.3;7.6;96.4
18.3;7.1;84.3
18.3;7.3;70.5
18.3;6.6;55.7
18.3;6.5;50.5
18.3;6.4;49.4
18.3;6.1;41.3
18.3;5.9;39.8
18.3;5.8;38.8
18.3;5.9;39.9
18.3;5.7;40.7
18.3;5.6;40.1
18.3;5.7;42.6
18.3;6.1;50.5
18.3;6.1;51.1
18.3;6.3;53.1
18.3;6.3;54.5
18.3;6.3;56.1
18.3;6.3;57.2
18.3;6.6;60.7
18.3;6.6;71.8
18.3;7;79.3
18.3;7.2;85.2
18.3;6.9;78
18.3;7.1;81.2
18.4;7.3;87.8
18.4;7.4;90.6
18.4;7.7;93.9
18.4;7.9;95.3
18.4;8.1;97.6
18.4;8.2;101.7
18.5;8.6;115.4
18.5;9;134.4
18.5;9.5;145.4
18.5;9.7;144.5
18.6;9.7;144.5
18.6;9.7;145.9
18.6;9.7;146.4
18.6;9.6;145.6
18.6;9.7;146.5
18.7;9.6;145.4
18.7;9.7;145.4
18.7;9.8;146.4
18.7;9.6;143.3
18.7;9.4;138.2
18.8;9.4;138.2
18.8;9.4;138.2
18.8;9.4;138.2
18.8;9.7;145.3
18.9;9.9;147.5
18.9;9.9;148.9
18.9;9.9;143.7
18.9;9.6;138.1
18.9;9.3;131.6
19;9.2;130
18.9;9;127.2
19;8.7;120.6
19;8.5;116.8
19;8.2;113.4
19;8;112
19;7.8;110.3
19.1;7.9;109.5
19.1;7.7;101
19.1;6.4;82.6
19.1;5.9;69.8
19.1;5.5;66.8
19.1;5.5;65.2
19.1;5.5;66
19.1;5.4;65.5
19.2;5.4;64.3
19.2;5.3;64.1
19.2;5.3;64.1
19.2;5.4;64.3
19.3;5.4;65.9
19.3;5.3;64.7
19.3;5;60.8
19.3;4.9;58
19.3;4.9;55.6
19.4;4.7;52.5
19.4;4.7;53.6
19.4;4.4;48.7
19.4;4.2;43.9
19.4;4.1;42.2
19.5;4.1;42.6
19.5;4.1;43.2
19.5;4.2;43.3
19.5;4.3;42.8
19.5;4.3;42.8
19.5;4.2;42.9
19.6;4.2;41.8
19.6;4.3;41.1
19.6;4.2;40.7
19.6;4.1;40.7
19.6;4.4;47.4
19.6;4.6;50.5
19.7;4.7;53.1
19.7;4.7;53.5
19.6;4.6;52.4
19.6;4.7;53.4
19.7;4.8;57.3
19.6;5;60.1
19.7;5.5;70.3
19.7;5.9;76
19.7;6.4;87.3
19.7;7;93.4
19.7;7.2;95.9
19.7;7.2;96.5
19.7;7.1;96.7
19.7;7.3;98.6
19.7;7.2;97.1
19.7;7.3;99.9
19.7;7.3;98.8
19.8;7.3;98.9
19.8;7.3;100.3
19.8;7.4;100.4
19.8;7.4;100.7
19.8;7.3;100.4
19.8;7.3;102.1
19.8;7.5;106.1
19.8;7.6;109.7
19.9;7.6;109.2
19.9;7.4;105
19.9;7.4;103.6
19.9;7.3;97.9
19.9;7;94.4
19.9;6.9;92.6
19.9;7;93.8
19.9;7.2;97.2
19.9;7.3;97.8
20;7.2;97.6
20;7.2;95.2
20;6.7;86.9
20;6.4;81.5
20;5.8;72.3
20;5.3;67.7
20.1;5.1;66.5
20.1;5.2;68.5
20.1;5.2;69.7
20.1;5.1;67.6
20.1;5.2;67.2
20.1;5;63.6
20.1;5.2;64.9
20.1;5.2;64.8
20.1;5.3;63.8
20.1;5.1;63.1
20.1;5.1;63
20.2;5;63
20.2;5;61.3
20.2;4.9;60.9
20.2;4.8;57.2
20.2;4.8;55.6
20.2;4.8;55.3
20.2;4.6;51.6
20.3;4.5;51.2
20.3;4.4;50.7
20.3;4.4;49.6
20.3;4.3;48.7
20.4;4.2;47.4
20.4;4.1;46.5
20.4;4.1;45.4
