key;en;ru;kk_KZ
DESCRIPTION;Scenario description;Описание сценария;Сценарий сипаттамасы
MISSION;Game task;Задание игры;Ойын тапсырмасы
GO;Go!;Поехали!;Кеттік!
START_MISSION;Embark on a mission;Приступить к миссии;Миссияны бастау
EASY;Easy;Простой;Жеңіл
MEDIUM;Medium;Средний;Орташа
HARD;Hard;Сложный;Қиын
MISSING_PARTS;Missing parts;Деталей для сборки;Құрастыруға арналған бөлшектер
LAUNCH_ALTITUDE;Launch altitude;Высота запуска;Іске қосу биіктігі
PAYLOAD;Payload;Полезная нагрузка;Пайдалы жүктеме
DIFFICULTY;Difficulty;Уровень сложности;Қиындық деңгейі
ASSEMBLE;Assemble;Собрать;Жинау
LAUNCH;Launch;Запустить;Іске қосу
CONGRATS;Congratulations!;Поздравляем!;Құттықтаймыз!
LAUNCH_SAT;Launch nanosatellite;Запустить спутник;Спутникты ұшыру
ALTITUDE;Altitude;Высота;Биіктік
TASK_COMPLETE;You finished the task!;Вы справились с заданием!;Сіз тапсырманы сәтті орындадыңыз!
END_SCREEN;Mission success!;Спутник успешно завершил свою миссию в атмосфере, а вы успешно справились с заданием! Попробуйте пройти это задание ещё раз, чтобы улучшить свой результат, или приступайте к следующей миссии!; 
ASSEMBLY_TIME;Assembly time in seconds;Секунд потрачено на сборку;Құрастыруға жұмсалған секунд саны
ASSEMBLY_WRONGS;Mistakes made during assembly;Количество ошибок при сборке;Құрастыру кезіндегі қателер саны
QUESTION_TRIES;Number of wrong answers;Количество попыток ответа на вопрос;Сұраққа жауап беру әрекеттерінің саны:
BACK_MENU;Back to menu;Вернуться в меню;Мәзірге оралу
antenna1;Antenna systems;Антенная система ;Антенна жүйесі
antenna2;The nanosatellite uses an ultrashort wave (UHF) antenna system.;На наноспутнике используется антенная система ультракоротковолнового (УКВ);Наноспутникте ультра қысқа толқынды (УҚТ) диапазондағы антенна жүйесі қолданылады. 
antenna3;A Yagi-type antenna system is used to receive signals on the Earth.;диапазона. Для приема сигналов на Земле используется антенная система типа Яги.;Жердегі сигналдарды қабылдау үшін Яга типті антенна жүйесі қолданылады.
frame1;Nanosatellite body;Корпус наноспутника ;Наноспутник корпусы
frame2;The body of the nanosatellite is made of special aluminum.;Корпус наноспутника выполняется из специального алюминия.;Наноспутниктің корпусы арнайы алюминийден жасалған.
